Variant,Canonical
AG SAND,AG SAND
ARKON,ARKON SOLUTIONS CORP.
ARKON SOLUTIONS CORP.,ARKON SOLUTIONS CORP.
ASPEN POLYMERS,ASPEN POLYMERS
ASPENLEAF ENERGY,ASPENLEAF ENERGY
BADGER,BADGER MINING CORPORATION
BADGER MINING CORPORATION,BADGER MINING CORPORATION
BAKER,BAKER HUGHES
BAKER (VIA MCCOLLMANS BY CVE),BAKER HUGHES
BAKER CHEMICAL,BAKER HUGHES
BAKER CHEMICALS,BAKER HUGHES
BAKER HUGHES,BAKER HUGHES
BAKER PETROLITE,BAKER HUGHES
BAKERHUGHES,BAKER HUGHES
BARENTZ,BAROID FLUID SERVICES
BAROID FLUID SERVICES,BAROID FLUID SERVICES
BASF,BAROID FLUID SERVICES
BJ ENERGY SOLUTIONS,BJ SERVICES
BJ ENERGY SOLUTIONS CANADA. ULC,BJ SERVICES
BJ SERVICES,BJ SERVICES
CALFRAC,CALFRAC WELL SERVICES
CALFRAC WELL SERVICES,CALFRAC WELL SERVICES
CANADIAN ENERGY SERVICES,CANADIAN ENERGY SERVICES
CANADIAN SILICA,CANADIAN SILICA
CANFRAC SANDS INC.,CANFRAC SANDS LTD.
CANFRAC SANDS LTD.,CANFRAC SANDS LTD.
CANYON,CANYON TECHNICAL SERVICES
CANYON ,CANYON TECHNICAL SERVICES
CANYON TECHNICAL SERVICES,CANYON TECHNICAL SERVICES
CARBO CERAMICS,CARBO CERAMICS
CENOVUS,CENOVUS
CESI CHEMICAL,CESI CHEMICAL
CESI CHEMICAL BY FLOTEK,CESI CHEMICAL
CFR CHEMICALS,CFR CHEMICALS INC.
CFR CHEMICALS INC,CFR CHEMICALS INC.
CFR CHEMICALS INC.,CFR CHEMICALS INC.
CHAMPIONX,CHAMPIONX
CHEVRON CANADA LIMITED,CHEVRON CANADA LIMITED
CHEVRON ORONITE COMPANY LLC,CHEVRON CANADA LIMITED
CITY OF MEDICINE HAT,CITY OF MEDICINE HAT
CITY OF WAINWRIGHT,CITY OF WAINWRIGHT
CLEARWATER SPECIALTY CHEMICAL CO,CLEARWATER SPECIALTY CHEMICAL CO.
CLEARWATER SPECIALTY CHEMICAL CO.,CLEARWATER SPECIALTY CHEMICAL CO.
CLIENT,CLIENT SUPPLIED
CLIENT SUPPLIED,CLIENT SUPPLIED
CO-SOLVE,CO-SOLVE SOLUTIONS INC.
CO-SOLVE SOLUTIONS,CO-SOLVE SOLUTIONS INC.
CO-SOLVE SOLUTIONS INC,CO-SOLVE SOLUTIONS INC.
CO-SOLVE SOLUTIONS INC.,CO-SOLVE SOLUTIONS INC.
COMPLETION INDUSTRIAL MINERALS,COMPLETION INDUSTRIAL MINERALS
CONLEN SURFACTANT TECHNOLOGY PPC,CONLEN SURFACTANT TECHNOLOGY PPC
COPPER TIP,COPPER TIP
CST PERFORMANCE PRODUCTS CORP.,CST PERFORMANCE PRODUCTS CORP.
DISCOVER CHEMICALS CORPORATION,DISCOVER CHEMICALS CORPORATION
DIVERTERPLUS,DIVERTERPLUS
DOW,DOW CHEMICAL CANADA ULC
DOW CHEMICAL,DOW CHEMICAL CANADA ULC
DOW CHEMICAL CANADA,DOW CHEMICAL CANADA ULC
DOW CHEMICAL CANADA ULC,DOW CHEMICAL CANADA ULC
DUPONT,DUPONT
EFOS POLYMER LLC,EFOS POLYMER LLC
ELEMENT,ELEMENT TECHNICAL SERVICES
ELEMENT TECHNICAL SERVICES,ELEMENT TECHNICAL SERVICES
ENCANA,ENCANA
ENGENIUM,ENGENIUM CHEMICALS CORP.
ENGENIUM CHEMICALS CORP,ENGENIUM CHEMICALS CORP.
ENGENIUM CHEMICALS CORP.,ENGENIUM CHEMICALS CORP.
ENGINEERED CHEMISTRY,ENGINEERED CHEMISTRY
FERROUS,FERROUS
FERUS,FERUS
FLOTEK,FLOTEK TECHNOLOGIES ULC
FLOTEK TECHNOLOGIES ULC,FLOTEK TECHNOLOGIES ULC
FLUID ENERGY,FLUID ENERGY GROUP LTD.
FLUID ENERGY GROUP LTD.,FLUID ENERGY GROUP LTD.
FLUID ENERGY LTD.,FLUID ENERGY GROUP LTD.
FLUID ENERGY SERVICES,FLUID ENERGY GROUP LTD.
FLUID EXPERTS,FLUID EXPERTS
FOUR L ENTERPRISES,FOUR L ENTERPRISES
FULTON TEC,FULTON TECHNOLOGY
FULTON TECH,FULTON TECHNOLOGY
FULTON TECHNOLOGY,FULTON TECHNOLOGY
FULTONTEC,FULTON TECHNOLOGY
FUSHION TECHNOLOGIES INC.,FUSION TECHNOLOGIES INC.
FUSION,FUSION TECHNOLOGIES INC.
FUSION TECHNOLOGIES INC.,FUSION TECHNOLOGIES INC.
GASFRAC,GASFRAC ENERGY SERVICES INC
GASFRAC ENERGY SERVICES INC,GASFRAC ENERGY SERVICES INC
HAALLIBURTON,HALLIBURTON ENERGY SERVICES. INC.
HALIBURTON,HALLIBURTON ENERGY SERVICES. INC.
HALLIBURTON,HALLIBURTON ENERGY SERVICES. INC.
HALLIBURTON ENERGY SERVICES. INC.,HALLIBURTON ENERGY SERVICES. INC.
HALLIBUTON,HALLIBURTON ENERGY SERVICES. INC.
HALLIUBURTON,HALLIBURTON ENERGY SERVICES. INC.
HALLLIBURTON,HALLIBURTON ENERGY SERVICES. INC.
HCL ACID,HCL ACID
HEXION,HEXION
HLLIBURTON,HALLIBURTON ENERGY SERVICES. INC.
HYBRID CHEMICAL TECHNOLOGIES,HYBRID CHEMICAL TECHNOLOGIES
IBC,IBC
IMERYS,IMERYS
INTEGRITY BIO-CHEM,INTEGRITY BIO-CHEM
IRON HORSE ENERGY SERVICES,IRON HORSE ENERGY SERVICES
ITALMATCH,ITALMATCH
JD&C SERVICES,JD&C SERVICES
KEMKO,KEMKO INC.
KEMKO INC.,KEMKO INC.
KINETICHEM,KINETICHEM
KMP HOLDINGS,KMP HOLDINGS
LA PRAIRIE,LA PRAIRIE
LAMBERTI,LAMBERTI
LAPAIRIE AND PEASKIE,LAPAIRIE AND PEASKIE
LAPRAIRIE,LAPRAIRIE GROUP
LAPRAIRIE AND PEASKIE,LAPAIRIE AND PEASKIE
LAPRAIRIE AND SIL,LAPRAIRIE GROUP
LAPRAIRIE GROUP,LAPRAIRIE GROUP
LAPRAIRIE GROUP (CANADIAN SILICA),LAPRAIRIE GROUP
LAPRAIRIE GROUP?,LAPRAIRIE GROUP
LIBERTY,LIBERTY OILFIELD SERVICES CANADA
LIBERTY ENERGY,LIBERTY OILFIELD SERVICES CANADA
LIBERTY OILFIELD SERVICES,LIBERTY OILFIELD SERVICES CANADA
LIBERTY OILFIELD SERVICES CANADA,LIBERTY OILFIELD SERVICES CANADA
LIBERTY OILFIELD SERVISES,LIBERTY OILFIELD SERVICES CANADA
LIBERTYOILFIELD SERVICES,LIBERTY OILFIELD SERVICES CANADA
LOS,LIBERTY OILFIELD SERVICES CANADA
LOS CANADA,LIBERTY OILFIELD SERVICES CANADA
LUBRIZOL,LUBRIZOL
MARVIN,MARVIN
MILLENIUM,MILLENNIUM STIMULATION SERVICES
MILLENNIUM,MILLENNIUM STIMULATION SERVICES
MILLENNIUM STIMULATION SERVICES,MILLENNIUM STIMULATION SERVICES
MOMENTIVA CHEMICALS,MOMENTIVE SPECIALTY CHEMICALS INC.
MOMENTIVE SPECIALTY CHEMICALS,MOMENTIVE SPECIALTY CHEMICALS INC.
MOMENTIVE SPECIALTY CHEMICALS INC.,MOMENTIVE SPECIALTY CHEMICALS INC.
MOMENTIVE SPECIALY CHEMICALS INC.,MOMENTIVE SPECIALTY CHEMICALS INC.
MULTI CHEM,MULTI-CHEM GROUP LLC
MULTI- CHEM,MULTI-CHEM GROUP LLC
MULTI-CHEM,MULTI-CHEM GROUP LLC
MULTI-CHEM GROUP LLC,MULTI-CHEM GROUP LLC
MULTICHEM,MULTI-CHEM GROUP LLC
MULTICHENM,MULTI-CHEM GROUP LLC
MUTI-CHEM,MULTI-CHEM GROUP LLC
MUTIL-CHEM,MULTI-CHEM GROUP LLC
MUTLI-CHEM,MULTI-CHEM GROUP LLC
MUTLICHEM,MULTI-CHEM GROUP LLC
NABORS,NABORS WELL SERVICE CANADA LTD
NABORS WELL SERVICE CANADA LTD,NABORS WELL SERVICE CANADA LTD
NALCO,NALCO CANADA CO.
NALCO CANADA CO.,NALCO CANADA CO.
NALCO CHAMPION,NALCO CANADA CO.
NCS,NCS
NISSAN CHEMICAL AMERICA,NISSAN CHEMICAL AMERICA CORPORATION
NISSAN CHEMICAL AMERICA CORPORATION,NISSAN CHEMICAL AMERICA CORPORATION
NISSAN CHEMICAL AMERICA CORPORTATION,NISSAN CHEMICAL AMERICA CORPORATION
NORTH 40 RESOURCES LTD.,NORTH 40 RESOURCES LTD.
NORTHERN WHITE,NORTHERN WHITE
NUTRITION & BIOSCIENCES CANADA COMPANY,NUTRITION & BIOSCIENCES CANADA COMPANY
OPERATOR,OPERATOR
OPTIFRAC CHEMICAL SERVICES,OPTIFRAC CHEMICAL SERVICES
OVINTIV CANADA,OVINTIV CANADA
OXANE,OXANE MATERIALS
OXANE MATERIALS,OXANE MATERIALS
PARAMOUNT,PARAMOUNT
PEASKIE,PEASKIE MINERALS INC
PEASKIE MINERALS INC,PEASKIE MINERALS INC
PIPESTONE,PIPESTONE ENERGY CORP
PIPESTONE ENERGY CORP,PIPESTONE ENERGY CORP
PREFERRED SAND,PREFERRED SANDS OF CANADA
PREFERRED SANDS,PREFERRED SANDS OF CANADA
PREFERRED SANDS OF CANADA,PREFERRED SANDS OF CANADA
PREFERRED SANDS. LLC,PREFERRED SANDS OF CANADA
