supplier_name,supplier_id
85.006294,1
AG SAND,2
ARKON SOLUTIONS CORP.,3
ASPEN POLYMERS,4
ASPENLEAF ENERGY,5
BADGER MINING CORPORATION,6
BAKER HUGHES,7
BAROID FLUID SERVICES,8
BJ SERVICES,9
CALFRAC WELL SERVICES,10
CANADIAN ENERGY SERVICES,11
CANADIAN SILICA,12
CANFRAC SANDS LTD.,13
CANYON TECHNICAL SERVICES,14
CARBO CERAMICS,15
CENOVUS,16
CESI CHEMICAL,17
CFR CHEMICALS INC.,18
CHAMPIONX,19
CHEVRON CANADA LIMITED,20
CITY OF MEDICINE HAT,21
CITY OF WAINWRIGHT,22
CLEARWATER SPECIALTY CHEMICAL CO.,23
CLIENT SUPPLIED,24
CO-SOLVE SOLUTIONS INC.,25
COMPLETION INDUSTRIAL MINERALS,26
CONLEN SURFACTANT TECHNOLOGY PPC,27
COPPER TIP,28
CST PERFORMANCE PRODUCTS CORP.,29
DISCOVER CHEMICALS CORPORATION,30
DIVERTERPLUS,31
DOW CHEMICAL CANADA ULC,32
DUPONT,33
EFOS POLYMER LLC,34
ELEMENT TECHNICAL SERVICES,35
ENCANA,36
ENGENIUM CHEMICALS CORP.,37
ENGINEERED CHEMISTRY,38
FERROUS,39
FERUS,40
FLOTEK TECHNOLOGIES ULC,41
FLUID ENERGY GROUP LTD.,42
FLUID EXPERTS,43
FOUR L ENTERPRISES,44
FULTON TECHNOLOGY,45
FUSION TECHNOLOGIES INC.,46
GASFRAC ENERGY SERVICES INC,47
HALLIBURTON ENERGY SERVICES. INC.,48
HCL ACID,49
HEXION,50
HYBRID CHEMICAL TECHNOLOGIES,51
IBC,52
IMERYS,53
INTEGRITY BIO-CHEM,54
IRON HORSE ENERGY SERVICES,55
ITALMATCH,56
ITALMATCH CHEMICALS,57
JD&C SERVICES,58
KEMKO INC.,59
KINETICHEM,60
KMP HOLDINGS,61
LA PRAIRIE,62
LAMBERTI,63
LAPAIRIE AND PEASKIE,64
LAPRAIRIE GROUP,65
LIBERTY ENERGY SERVICES LLC (US),66
LIBERTY OILFIELD SERVICES CANADA,67
LUBRIZOL,68
MARVIN,69
MILLENNIUM STIMULATION SERVICES,70
MOMENTIVE SPECIALTY CHEMICALS INC.,71
MULTI-CHEM GROUP LLC,72
NABORS WELL SERVICE CANADA LTD,73
NALCO CANADA CO.,74
NCS,75
NISSAN CHEMICAL AMERICA CORPORATION,76
NORTH 40 RESOURCES LTD.,77
NORTHERN WHITE,78
NUTRITION & BIOSCIENCES CANADA COMPANY,79
OFP,80
OPERATOR,81
OPTIFRAC CHEMICAL SERVICES,82
OVINTIV CANADA,83
OXANE MATERIALS,84
PARAMOUNT,85
PARAMOUNT RESOURCES LTD.,86
PEASKIE MINERALS INC,87
PIPESTONE ENERGY CORP,88
PREFERRED SANDS OF CANADA,89
PROTECHNICS,90
PURECHEM SERVICES,91
QUADRA,92
RCM TRANSPORT LTD,93
ROCANDA,94
SAND SOURCE,95
SANJEL,96
SCHLUMBERGER,97
SECURE ENERGY SERVICES,98
SEVEN GENERATIONS ENERGY LTD.,99
SIL INDUSTRIAL MINERALS,100
SNF CHEMICALS,101
SONIC ACID,102
SOURCE ENERGY AND LAPRAIRIE,103
SOURCE ENERGY SERVICES,104
SOUTHWEST SAND,105
SPARTAN DELTA CORP.,106
STEP ENERGY SERVICES LTD.,107
STIMSOL CANADA INC.,108
STIMWRX ENERGY SERVICES LTD.,109
SYNOIL ENERGY SERVICES,110
TAIT CANADA,111
TALISMAN,112
TENEX TECHNOLOGIES,113
THIRD PARTY,114
THIRD PARTY FLUID (L),115
TOWN OF PROVOST,116
TOWN OF SLAVE LAKE,117
TOWN OF WAINWRIGHT,118
TRADE SECRET,119
TRICAN WELL SERVICE LTD.,120
UNIMIN CORP.,121
UNIQUEM,122
UNIVAR CANADA,123
V,124
VELVET ENERGY,125
VERIFRAC,126
WATER SCIENCE TECHNOLOGIES,127
WAYFINDER,128
WEATHERFORD,129
WESTERN PETROLEUM MANAGEMENT,130
WPM CHEMICAL CORP.,131
WST ENERGY,132
XPAND,133
ZL CHEMICALS,134
